title,type,release_year,age_certification,runtime,genre ,country,imdb_rating,imdb_votes
A Love So Beautiful,SHOW,2020,Unknown,23, comedy ,KR,Unknown,Unknown
A Love Song for Latasha,MOVIE,2019,Unknown,18, documentation  ,US,Unknown,Unknown
A Love Story,MOVIE,2007,Unknown,117, drama ,PH,6.4,142
A Man for The Weekend,MOVIE,2017,Unknown,94, romance ,CM,4.5,13
A Man Returned,MOVIE,2016,Unknown,30, documentation  ,Unknown,Unknown,Unknown
A Miraculous Christmas Special: Tales of Ladybug and Cat Noir,MOVIE,2017,Unknown,21,Unknown,JP,Unknown,Unknown
A Monster Calls,MOVIE,2016,PG-13,108, drama ,US,7.4,87806
A Naija Christmas,MOVIE,2021,Unknown,121, comedy ,NG,4.7,342
A New York Christmas Wedding,MOVIE,2020,Unknown,88, drama ,US,5.3,1123
A Nightmare on Elm Street,MOVIE,1984,R,91, horror  ,GB,7.4,234068
A Nightmare on Elm Street,MOVIE,2010,R,95, horror ,US,5.2,99894
A Perfect Crime,SHOW,2020,Unknown,43, documentation ,DE,7.3,1394
A Perfect Day for Arsenide,SHOW,2020,TV-MA,23, drama ,HK,5,18
A Perfect Fit,MOVIE,2021,Unknown,112, comedy ,ID,5.3,585
A Perfect Pairing,MOVIE,2022,Unknown,101, comedy ,US,6.1,9742
A Place in the Stars,MOVIE,2014,Unknown,112, thriller ,NG,6.2,19
A Princess for Christmas,MOVIE,2011,PG,89, family ,US,6.3,8268
A Queen Is Born,SHOW,2020,Unknown,44, reality  ,BR,6,151
A Remarkable Tale,MOVIE,2019,PG,93, comedy ,ES,5.3,1251
A River Runs Through It,MOVIE,1992,PG,123, drama  ,US,7.2,59854
A Second Chance,MOVIE,2011,Unknown,90, drama ,AU,4.7,1030
A Second Chance,MOVIE,2015,Unknown,130, drama ,PH,8.6,47
A Second Chance: Rivals!,MOVIE,2019,PG,89, drama ,AU,4.6,394
A Secret Love,MOVIE,2020,Unknown,83, documentation ,US,7.8,4409
A Series of Unfortunate Events,SHOW,2017,TV-PG,47, drama ,US,7.8,59959
A Shaun the Sheep Movie: Farmageddon,MOVIE,2019,G,87, family ,GB,6.8,13485
A Silent Voice: The Movie,MOVIE,2016,PG-13,130, animation ,JP,8.1,77667
A Sinister Sect: Colonia Dignidad,SHOW,2021,Unknown,53, documentation  ,DE,Unknown,Unknown
A Sort of Family,MOVIE,2017,Unknown,95, thriller ,BR,6.3,701
A Stand Worthy of Men,MOVIE,2021,Unknown,120, drama ,Unknown,7.2,2174
A Stoning in Fulham County,MOVIE,1988,Unknown,120, thriller ,US,5.9,387
A StoryBots Christmas,MOVIE,2017,Unknown,25, animation ,US,5.8,160
A StoryBots Space Adventure,MOVIE,2021,Unknown,12, animation  ,Unknown,Unknown,Unknown
A Sun,MOVIE,2019,Unknown,155, crime ,TW,Unknown,Unknown
A Taiwanese Tale of Two Cities,SHOW,2018,Unknown,69, drama  ,TW,6.1,159
A Tale Dark & Grimm,SHOW,2021,TV-Y7,30, animation ,ES,7.3,1193
A Tale of Two Kitchens,MOVIE,2019,Unknown,29, documentation  ,MX,6.5,145
A Thousand Goodnights,SHOW,2019,Unknown,71, family ,TW,8,94
A Touch of Green,SHOW,2015,TV-MA,53, drama ,TW,8.4,341
A Trash Truck Christmas,MOVIE,2020,G,28, action ,US,5.5,214
A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,Unknown,100, drama ,US,7.2,250
A Twelve-Year Night,MOVIE,2018,Unknown,117, drama ,AR,7.5,9920
A Very Country Christmas,MOVIE,2017,G,83, drama ,CA,6,1640
A Very Harold & Kumar Christmas,MOVIE,2011,R,108, comedy ,US,6.2,69562
A Very Murray Christmas,MOVIE,2015,Unknown,56, comedy ,US,5.5,15455
A Very Secret Service,SHOW,2015,TV-MA,27, comedy ,FR,7.7,3574
A Very Special Love,MOVIE,2008,PG,105, comedy ,PH,6.5,391
A Walk Among the Tombstones,MOVIE,2014,R,113, drama ,US,6.5,121232
A Week Away,MOVIE,2021,Unknown,94, drama ,US,5.7,4608
A Whisker Away,MOVIE,2020,Unknown,104, fantasy ,JP,6.7,9818
A Witches' Ball,MOVIE,2017,PG,90, fantasy ,CA,5.1,386
A World Not Ours,MOVIE,2012,Unknown,93, documentation ,PS,7.8,388
A World Without,MOVIE,2021,Unknown,106, thriller ,ID,3.8,357
A.I.C.O. -Incarnation-,SHOW,2018,TV-14,25, animation ,JP,6.3,1203
Aagey Se Right,MOVIE,2009,G,117, comedy ,IN,5.2,411
